depute,salaire_moyen
taurine-benedicte,1828.5714285714287
herth-antoine,1827.6666666666667
degois-typhanie,1554.125
delatte-remi,1467.9
abba-berangere,1349.5
hammerer-veronique,1245.4545454545455
henriet-pierre,1053.4285714285713
diard-eric,1023.0
brun-fabrice,939.8
thomas-valerie,765.0
tolmont-sylvie,744.5714285714286
herbillon-michel,263.2093023255814
errante-sophie,253.0
zumkeller-michel,0.0
lassalle-jean,0.0
larrive-guillaume,0.0
buffet-marie-george,0.0
braun-pivet-yael,0.0
reiss-frederic,0.0
habib-david,0.0
bourguignon-brigitte,0.0
morel-a-l-huissier-pierre,-514.7777777777778
